       Xposition(m)           Yposition(m)             Zposition(m)
  1.6190457580484139e+07  -1.1726982415420737e+07   8.9115559902839440e-01
  1.6216612017573524e+07  -1.1690779174669292e+07   1.6480996086529558e+00
  1.6242685536385363e+07  -1.1654517599066047e+07   2.4048913870942386e+00
  1.6268678006752932e+07  -1.1618197869503286e+07   3.1615279253851440e+00
  1.6294589298914174e+07  -1.1581820167163866e+07   3.9180062155252244e+00
  1.6320419283512322e+07  -1.1545384673520190e+07   4.6743232504905450e+00
  1.6346167831596265e+07  -1.1508891570333904e+07   5.4304760242307850e+00
  1.6371834814621368e+07  -1.1472341039654547e+07   6.1864615316849550e+00
  1.6397420104450237e+07  -1.1435733263818623e+07   6.9422767687910890e+00
  1.6422923573353280e+07  -1.1399068425448729e+07   7.6979187324935480e+00
  1.6448345094009101e+07  -1.1362346707452958e+07   8.4533844207437600e+00
  1.6473684539505525e+07  -1.1325568293023577e+07   9.2086708325181520e+00
  1.6498941783340024e+07  -1.1288733365636218e+07   9.9637749678232410e+00
  1.6524116699420374e+07  -1.1251842109049093e+07   1.0718693827701458e+01
  1.6549209162065363e+07  -1.1214894707301844e+07   1.1473424414243965e+01
  1.6574219046005202e+07  -1.1177891344715081e+07   1.2227963730590233e+01
  1.6599146226382373e+07  -1.1140832205888921e+07   1.2982308780945460e+01
  1.6623990578752318e+07  -1.1103717475702280e+07   1.3736456570587421e+01
  1.6648751979083702e+07  -1.1066547339312138e+07   1.4490404105867754e+01
  1.6673430303759582e+07  -1.1029321982152099e+07   1.5244148394233122e+01
  1.6698025429577392e+07  -1.0992041589932216e+07   1.5997686444216583e+01
  1.6722537233750010e+07  -1.0954706348637465e+07   1.6751015265459017e+01
  1.6746965593906257e+07  -1.0917316444526996e+07   1.7504131868713216e+01
  1.6771310388091506e+07  -1.0879872064133167e+07   1.8257033265853180e+01
  1.6795571494768236e+07  -1.0842373394260762e+07   1.9009716469879750e+01
  1.6819748792816743e+07  -1.0804820621985862e+07   1.9762178494932016e+01
  1.6843842161535680e+07  -1.0767213934654996e+07   2.0514416356294646e+01
  1.6867851480642600e+07  -1.0729553519884333e+07   2.1266427070403550e+01
  1.6891776630274717e+07  -1.0691839565558434e+07   2.2018207654859992e+01
  1.6915617490989340e+07  -1.0654072259829740e+07   2.2769755128431626e+01
  1.6939373943764720e+07  -1.0616251791117010e+07   2.3521066511071950e+01
  1.6963045870000258e+07  -1.0578378348105196e+07   2.4272138823913423e+01
  1.6986633151517507e+07  -1.0540452119743722e+07   2.5022969089290967e+01
  1.7010135670560475e+07  -1.0502473295246053e+07   2.5773554330740210e+01
  1.7033553309796344e+07  -1.0464442064088507e+07   2.6523891573010985e+01
  1.7056885952316076e+07  -1.0426358616009401e+07   2.7273977842074090e+01
  1.7080133481634880e+07  -1.0388223141008064e+07   2.8023810165129817e+01
  1.7103295781692944e+07  -1.0350035829343930e+07   2.8773385570616938e+01
  1.7126372736855954e+07  -1.0311796871535430e+07   2.9522701088222846e+01
  1.7149364231915504e+07  -1.0273506458359448e+07   3.0271753748885317e+01
